HAVE_MILITARY_SCORE_LESS_THAN;Have a lower Military Score than: ;Disposent d'un score militaire inférieur à :  ;Geringere militärische Punktzahl als ;;Tiene una puntuación militar menor que: ;;;;;;;;x;
STRATA_NEED_LESS_THAN;Needs fulfilled at less than;Besoins satisfaits à moins de;Erfüllte Bedürfnisse weniger als;;Necesidades satisfechas a menos de;;;;;;;;x;
STRATA_NEED_MORE_THAN;Needs fulfilled at least;Besoins satisfaits d'au moins;Erfüllte Bedürfnisse mindestens;;Necesidades satisfechas a;;;;;;;;x;
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Less than $VAL$ want political reform.;Moins de $VAL$ souhaitent une réforme politique.;Weniger als $VAL$ wollen politische Reformen.;;Menos de $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;At least $VAL$ want political reform.;Au moins $VAL$ souhaitent une réforme politique.;Mindestens $VAL$ wollen politische Reformen.;;Al menos $VAL$ quieren reformas políticas.;;;;;;;;x;
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Less than $VAL$ want social reform.;Moins de $VAL$ souhaitent une réforme sociale.;Weniger als $VAL$ wollen soziale Reformen.;;Menos de $VAL$ quieren reformas sociales.;;;;;;;;x;
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;At least $VAL$ want social reform.;Au moins $VAL$ souhaitent une réforme sociale.;Mindestens $VAL$ wollen soziale Reformen.;;Al menos $VAL$ quieren reformas sociales.;;;;;;;;x;
CSA_proletarian_dictatorship;Dirigist Confederacy;États confédérés d'Amérique;CSA;;Confederación Dirigista;;;;;;;;;x
USA_presidential_dictatorship;United States of North Atlantis;États-Unis;USA;;Estados Unidos Atlantes del Norte;;;;;;;;;x
CSA_presidential_dictatorship;Confederated State;États confédérés d'Amérique;CSA;;Estado Atlante Confederado;;;;;;;;;x
USA_bourgeois_dictatorship;Northatlantean Liberal States;États-Unis;USA;;Estados Noratlantes Libres;;;;;;;;;x
CSA_bourgeois_dictatorship;Free Confederated States;États confédérés d'Amérique;CSA;;Estados Confederados Libres Atlantes  ;;;;;;;;;x
USA_fascist_dictatorship;New Northatlantean Empire;États-Unis;USA;;Nuevo Imperio Noratlante;;;;;;;;;x
CSA_fascist_dictatorship;Legionary Confederacy;États confédérés d'Amérique;CSA;;Confederación Legionaria;;;;;;;;;x
REMOVE_USA_prussian_constitutionalism;Kingdom of North Atlantis;États-Unis;USA;;Reino Atlantes del Norte;;;;;;;;;x
CSA_prussian_constitutionalism;Confederated Kingdom of North Atlantis;États confédérés d'Amérique;CSA;;Reino Confederado Atlante del Norte;;;;;;;;;x
USA_democracy;Republic of North Atlantis;États-Unis;USA;;República de Noratlántida;;;;;;;;;x
CSA_democracy;Confederated States of North Atlantis;États confédérés d'Amérique;CSA;;Estados Confederados Atlantes del Norte;;;;;;;;;x
CAL_absolute_monarchy;Celestial Empire of Qinlifornia;Royaume de Californie;Kingdom of California;;Imperio Celestial de Qinlifornia;;;;;;;;x;
CAL_hms_government;United Qinlifornian Kingdom;Royaume de Californie;Kingdom of California;;Reino Unido de Qinlifornia;;;;;;;;x;
DOM_absolute_monarchy;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;;;;;;;;x;
DOM_hms_government;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;Terra Monindelikon;;;;;;;;x;
ENG_democracy;Republic of Britannia;Grande-Bretagne;Großbritannien;;República de Britania;;;;;;;;x;
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Monthly base leadership: §Y$VALUE$§W;Valeur de base mensuelle de Commandement  : §Y$VALUE$§W;Monatliche Basis-Anführerpunkte: §Y$VALUE$§W;;Liderazgo básico mensual: §Y$VALUE$§W;;;;;;;;x;
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Monthly leadership: §G+$VALUE$§W;Valeur mensuelle de Commandement : §G+$VALUE$§W;Monatliche Anführerpunkte: §G+$VALUE$§W;;Liderazgo mensual: §G+$VALUE$§W;;;;;;;;x;
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ provide §G$VALUE$§W leadership.\n (§Y$FRACTION$%§W of the population, $OPTIMAL$% is optimal.);§Y$POPTYPE$§W donnent §G$VALUE$§W de valeur de Commandement.\n(§Y$FRACTION$ %§W de la population, $OPTIMAL$ % est optimal);$POPTYPE$ erbringen §G$VALUE$§W Anführerpunkte.\n(§Y$FRACTION$%§W der Bevölkerung, $OPTIMAL$% ist optimal);;Los $POPTYPE$ proporcionan §G$VALUE$§W de liderazgo.\n (§Y$FRACTION$%§W de la población, el valor óptimo es $OPTIMAL$%.);;;;;;;;x;
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Militancy in Non-Colonial;Militantisme des États non coloniaux;Militanz in Nicht-Koloniestaat;;Militancia en provincias no coloniales;;;;;;;;x;
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Consciousness in Non-Colonial;Conscience nationale des États non coloniaux;Bewusstsein in Nicht-Koloniestaat;;Conciencia en provincias no coloniales;;;;;;;;x;
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Militancy for Non-Accepted;Militantisme des cultures non acceptées;Militanz für nicht akzeptierte Kulturen;;Militancia de culturas no aceptadas;;;;;;;;x;
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Consciousness for Non-Accepted;Conscience nationale des cultures non acceptées;Bewusstsein für nicht akzeptierte Kulturen;;Conciencia de culturas no aceptadas;;;;;;;;x;
AUS_734;South Tirol;Tyrol du Sud;Südtirol;;Tirol Meridional;;;;;;;;x;
EVTNAME23212;Comet Sighted;Comète aperçue;Komet gesichtet;;Cometa avistado;;;;;;;;x;
