RECRUITED_PERCENTAGE_LESS_THAN;Less than §Y$VAL$§W% of possible soldiers recruited.\n;Moins de §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Weniger als §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Menos del §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x;;
RECRUITED_PERCENTAGE_MORE_THAN;At least §Y$VAL$§W% of possible soldiers recruited.\n;Au moins §Y$VAL$§W % des soldats potentiels ont été recrutés.\n;Mindestens §Y$VAL$§W% der möglichen Soldaten rekrutiert.\n;;Al menos el §Y$VAL$§W% de los soldados posibles reclutados.\n;;;;;;;;x;;
SEPARATISM_TECH;Separatism;Séparatisme;Separatismus;;Separatismo;;;;;;;;x;;
INC_RES_TECH;Research Points;Points de recherche;Forschungspunkte;;Puntos de investigación;;;;;;;;x;;
TOTAL_POPS_NOT_TR;Less than §Y$VAL$§W pops in $WHERE$.\n;Moins de §Y$VAL$§W pop en $WHERE$.\n;Weniger als §Y$VAL$§W Bevs in $WHERE$.\n;;Menos de §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x;;
TOTAL_POPS_TR;At least §Y$VAL$§W pops in $WHERE$.\n;Au moins §Y$VAL$§W pop en $WHERE$.\n;Mindestens §Y$VAL$§W Bevs in $WHERE$.\n;;Al menos §Y$VAL$§W POB en $WHERE$.\n;;;;;;;;x;;
IS_CRIME_NOT_HIGHER_THAN_EDU_TR;More is spent on §Yeducation§W than on administration.\n;Les dépenses d’§Yéducation§W sont supérieures aux dépenses d’administration.\n;Ausgaben für §YBildung§W übersteigen die für Verwaltung.\n;;Se gasta más en §Yeducación§W que en administración.\n;;;;;;;;x;;
IS_CRIME_HIGHER_THAN_EDU_TR;More is spent on §Yadministration§W than on education.\n;Les dépenses d’§Yadministration§W sont supérieures aux dépenses d’éducation.\n;Ausgaben für §YVerwaltung§W übersteigen die für Bildung.\n;;Se gasta más en §Yadministración§W que en educación.\n;;;;;;;;x;;
ANY_AT_WAR_STARTS;Any country at war with.;Tout pays avec lequel nous sommes en guerre.;Jedes Land, mit dem Krieg herrscht.;;Cualquier país con el que estás en guerra.;;;;;;;;x;;
REBEL_POWER_LESS_THAN;Rebel threat is less than §Y$VAL$§W percent.;La menace rebelle est inférieure à §Y$VAL$§W %.;Bedrohung durch Rebellen beträgt weniger als §Y$VAL$§W Prozent.;;La amenaza de los rebeldes es inferior al §Y$VAL$§W por ciento.;;;;;;;;x;;
REBEL_POWER_MORE_THAN;Rebel threat is at least §Y$VAL$§W percent.;La menace rebelle est d’au moins §Y$VAL$§W %.;Bedrohung durch Rebellen beträgt mindestens §Y$VAL$§W Prozent.;;La amenaza de los rebeldes es de al menos el §Y$VAL$§W por ciento.;;;;;;;;x;;
POP_TYPE_PERC_NOT;$NAME$ is less than §Y$VAL$%§W.\n;$NAME$ : inférieur à §Y$VAL$%§W.\n;$NAME$ ist weniger als §Y$VAL$%§W.\n;;Los $NAME$ representan menos del §Y$VAL$%§W.\n;;;;;;;;x;;
POP_TYPE_PERC;$NAME$ is at least §Y$VAL$%§W.\n;$NAME$ : supérieur à §Y$VAL$%§W.\n;$NAME$ ist mindestens §Y$VAL$%§W.\n;;Los $NAME$ representan al menos el §Y$VAL$%§W.\n;;;;;;;;x;;
MAJORITY_IS;Majority of population is ;La majorité de la population est ;Bevölkerungsmehrheit ist ;;La mayoría de la población es ;;;;;;;;x;;
MAJORITY_IS_NOT;Majority of population is NOT ;La majorité de la population n’est PAS ;Bevölkerungsmehrheit ist NICHT ;;La mayoría de la población NO es ;;;;;;;;x;;
ICL;Ísland;Ísland;Ísland;Ísland;Ísland;;;;;;;;x;;
ICL_ADJ;Icelandic;islandais;Isländisch;;Islandesa;;;;;;;;x;;
ISR;Israel;Israël;Israel;;Israel;;;;;;;;x;;
ISR_ADJ;Israeli;israélien;Israelitisch;;Israelí;;;;;;;;x;;
BYZ;Wakracian Empire;Empire byzantin;Byzantinisches Reich;;Imperio Wakracio;;;;;;;;x;;
BYZ_ADJ;Wakracian;byzantin;Byzantinisch;;Wakracia;;;;;;;;x;;
BYZ_conservative;Meritocratic Party;Komma Ethnikofronon;Komma Ethnikofronon;;Partido Meritocrático;;;;;;;;x;;
BYZ_reactionary;Optimate Restoration Committee;Optimate Restoration Committee;Optimate Restoration Committee;Optimate Restoration Committee;Junta de Restauración Optimate;;;;;;;;x;;
