GIVE_UNIT_COMMAND_BUTTON;Command Units;;Kontrolliere Einheiten;;Comandar Unidades;;;;;;x;;;
GIVE_UNIT_COMMANDTITLE;Command Units;;Kontrolliere Einheiten;;Comandar Unidades;;;;;;x;;;
GIVE_UNIT_COMMAND_DESC;While fighting a war together, a puppet's overlord may take command of their units.;;Während sie gemeinsam einen Krieg bestreiten, darf der Herrscher die Kontrolle über die Einheiten seiner Marionetten übernehmen.;;Mientras luchan juntos en una guerra, el señor de una marioneta puede tomar el mando de sus unidades.;;;;;;x;;;
GIVE_UNIT_COMMAND_OK;Ask your puppet to take back command over their own units.;;Frage deine Marionette, ob sie die Kontrolle über ihre Einheiten zurückerlangen will.;;Pide a tu marioneta que vuelva a tomar el mando de sus propias unidades.;;;;;;x;;;
GIVE_UNIT_COMMAND_CANT_CONTROL;You can command units of your §Ypuppets§! only when you are fighting in a war together.;;Sie können die Einheiten Ihrer §YMarionetten§! nur dann kontrollieren, wenn Sie gemeinsam einen Krieg bestreiten.;;Puedes comandar las unidades de tus §Marionetas§ sólo cuando estéis luchando juntos en una guerra.;;;;;;x;;;
GIVE_UNIT_COMMAND_ALREADY_CONTROL;You are already in command of their units.;;Sie kontrollieren schon ihre Einheiten.;;Ya estás al mando de sus unidades.;;;;;;x;;;
CANCEL_UNIT_COMMAND_BUTTON;Give Back Units;;Einheiten zurückgeben;;Devolver unidades;;;;;;x;;;
CANCEL_UNIT_COMMANDTITLE;Give Back Units;;Einheiten zurückgeben;;Devolver unidades;;;;;;x;;;
CANCEL_UNIT_COMMAND_DESC;Give Back Units;;Einheiten zurückgeben;;Devolver unidades;;;;;;x;;;
CANCEL_UNIT_COMMAND_OK;Give them back their units.;;Geben Sie ihnen ihre Einheiten zurück.;;Devuélveles sus unidades.;;;;;;x;;;
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;You are not in command of this unit.;;Sie kontrollieren diese Einheit nicht.;;Usted no está al mando de esta unidad.;;;;;;x;;;
cut_down_to_size_boxer_setup;Force China to pay for the crimes of the Boxer rebels.;;Zwinge China, für die Verbrechen der Boxer-Rebellen zu büßen.;;Obliga a China a pagar por los crímenes de los rebeldes bóxers.;;;;;;x;;;
cut_down_to_size_boxer_short;Force China to pay for the Boxer's crimes.;;Zwinge China, für die Verbrechen der Boxer zu büßen.;;Obliga a China a pagar por los crímenes de los bóxers.;;;;;;x;;;
LACK_OF_MAINTENANCE_GOODS;Lack of maintenance goods;;Ungenügend Wartungsgüter;;Falta de bienes de mantenimiento;;;;;;x;;;
AIREASON_TOO_MANY_CRISIS_WARGOALS;Added Wargoals;;Hinzugefügte Kriegsziele;;Objetivos de guerra añadidos;;;;;;x;;;
