EVTNAME19356;A war to end all wars;;;;Una guerra para acabar con todas las guerras;;;;;;;;;x
EVTDESC19356;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.\n\n From now on a great war will allow a side that is clearly winning the ability to add even more wargoals;;;;Cada vez está más claro que hemos entrado en una nueva era de guerras sin precedentes. Los conflictos de nuestro tiempo ya no son meros asuntos locales, sino que llegan a todos los rincones del mundo. Teniendo en cuenta lo que está en juego y el aterrador impacto de estas hostilidades en las naciones implicadas, ya no hay necesidad de moderación.\NA partir de ahora una gran guerra permitirá a un bando que esté ganando claramente la capacidad de añadir aún más objetivos de guerra;;;;;;;;;x
EVTOPTA19356;Gentlemen, all I ask for is war, a war so grand as to make Hell itself tremble;;;;Caballeros, todo lo que pido es una guerra, una guerra tan grande que haga temblar al mismísimo infierno;;;;;;;;;x
EVTDESC19356_NEWS_LONG;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.;;;;Cada vez está más claro que hemos entrado en una nueva era de guerra sin precedentes. Los conflictos de nuestro tiempo ya no son meros asuntos locales, sino que llegan a todos los rincones del mundo. Teniendo en cuenta lo que está en juego y el aterrador impacto de estas hostilidades en las naciones implicadas, ya no es necesario contenerse.;;;;;;;;;x
EVTDESC19356_NEWS_MEDIUM;It has become increasingly clear that we have entered a new era of unprecedented warfare. The conflicts of our time are no longer mere local issues, but instead reach every corner of the world. Considering the ever increasing stakes and the terrifying impact of these hostilities on the nations involved, there is no longer any need for restrain.;;;;Cada vez está más claro que hemos entrado en una nueva era de guerras sin precedentes. Los conflictos de nuestro tiempo ya no son meros asuntos locales, sino que llegan a todos los rincones del mundo. Teniendo en cuenta que lo que está en juego es cada vez más importante y que las repercusiones de estas hostilidades son aterradoras para las naciones implicadas, ya no hay necesidad de moderación.;;;;;;;;;x
EVTDESC19356_NEWS_SHORT;It has become increasingly clear that we have entered a new era of unprecedented warfare.;;;;Cada vez está más claro que hemos entrado en una nueva era de guerra sin precedentes.;;;;;;;;;x
ASSIMILATE_EFFECT;Assimilate all Pops in state\n;;;;Asimilar a todos los papas en el estado\n;;;;;;;;;x
WORLD_WARS_ENABLE_DESC;Great wars can now become World wars;;;;Las grandes guerras pueden convertirse ahora en guerras mundiales;;;;;;;;;x
WORLD_WARS_ENABLED_DESC;World wars are enabled;;;;Las guerras mundiales están habilitadas;;;;;;;;;x
WORLD_WARS_DISABLED_DESC;World wars are NOT enabled;;;;Las guerras mundiales NO están habilitadas;;;;;;;;;x
SM_WINDOW;Window mode;;;;Modo ventana;;;;;;;;;x
SM_WINDOWED;Windowed;;;;Ventana;;;;;;;;;x
SM_FULLSCREEN;Fullscreen;;;;Pantalla completa;;;;;;;;;x
SM_BORDERLESS;Borderless;;;;Sin bordes;;;;;;;;;x
IGNORE_DECISION_ON;This decision is set to NOT notify the player when it is available to be taken.\n\n§GClick to change notification status.§!;;;;Esta decisión está configurada para NO notificar al jugador cuando esté disponible para ser tomada.;;;;;;;;;x
IGNORE_DECISION_OFF;This decision is set to notify the player when it is available to be taken.\n\n§GClick to change notification status.§!;;;;Esta decisión está configurada para notificar al jugador cuando esté disponible para ser tomada.;;;;;;;;;x
SPLITINHALF;Split in Half;;;;Dividir por la mitad;;;;;;;;;x
SPLITINHALF_DRO;Split in half will split the current unit into two roughly even-sized units and select the larger of the two units.;;;;Dividir por la mitad dividirá la unidad actual en dos unidades más o menos iguales y seleccionará la mayor de las dos unidades.;;;;;;;;;x
nationalsyndicalist_desc;National Syndicalism proposes a totalitarian system that encompasses all agents of production, workers and employers alike in a single corporatist union structure. As well as a nationalization of banking and public services.;;;;El Nacionalsindicalismo propone un sistema totalitario que englobe a todos los agentes de la producción, trabajadores y patronos por igual en una única estructura sindical corporativista. Así como una nacionalización de la banca y los servicios públicos.;;;;;;;;;x
nationalsyndicalist_dictatorship_desc;National Syndicalism proposes a totalitarian system that encompasses all agents of production, workers and employers alike in a single corporatist union structure. As well as a nationalization of banking and public services.;;;;El Nacionalsindicalismo propone un sistema totalitario que englobe a todos los agentes de la producción, trabajadores y patronos por igual en una única estructura sindical corporativista. Así como una nacionalización de la banca y los servicios públicos.;;;;;;;;;x
nationalsyndicalist_rebels_title;Blue Shirts;Blue Shirts;Blue Shirts;Blue Shirts;Camisas Azules;;;;;;;;;x
nationalsyndicalist_rebels_name;Blue Shirts;Blue Shirts;Blue Shirts;Blue Shirts;Camisas Azules;;;;;;;;;x
nationalsyndicalist_rebels_desc;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;The Blue Shirts are revolutionaries driven by the new ideology of national syndicalism. These hardened revolutionaries, working under the dogmas of violence and syndicalist mass action, will stop at nothing to overthrow both the old monarchies and the new democracies and replace them with the totalitarian, nationalist and syndicalist concepts of the ideology.;Los Camisas Azules son revolucionarios impulsados por la nueva ideología del nacionalsindicalismo. Estos curtidos revolucionarios, que trabajan bajo los dogmas de la violencia y la acción en masa sindical, no se detendrán ante nada para derribar tanto las viejas monarquías como las nuevas democracias y reemplazarlas con los conceptos totalitarios, nacionalistas y sindicalistas de la ideología.;;;;;;;;;x
nationalsyndicalist_rebels_army;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nacionalsindicalistas;;;;;;;;;x
agrarist_rebels_title;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
agrarist_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarist_rebels_desc;Agrarists are closely related to the principles of Luddism. They reject industrialization, consider that machines will destroy employment and propose a return to manual labor. Closing all existing factories.;;;;Los agraristas están cercanamente relacionados con los principios del ludismo. Rechazan la industrialización, consideran que las máquinas destruirán el empleo y proponer regresar al trabajo manual. Cerrando todas las fábricas existentes.;;;;;;;;;x
agrarist_rebels_army;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
agrarism_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
theocratic_rebels_title;Theocratic;Theocratics;Theocratics;Theocratics;Teocrático;;;;;;;;;x
theocratic_rebels_name;Soldiers of God;Soldiers of God;Soldiers of God;Soldiers of God;Soldados de Dios;;;;;;;;;x
theocratic_rebels_desc;Theocratic maintain a strong degree of conservatism or political reactionaryism. Wanting religion to be the guiding light in all matters of state.;;;;Los partidos teocráticos mantienen un fuerte grado de conservadurismo o reaccionarismo político. Queriendo que la religión sea la luz que guie todos los temas del estado.;;;;;;;;;x
theocratic_rebels_army;Theocratics;Theocratics;Theocratics;Theocratics;Teocráticos;;;;;;;;;x
theocracy_rebels_title;Theocratic;Theocratics;Theocratics;Theocratics;Teocrático;;;;;;;;;x
theocracy_rebels_name;Soldiers of God;Soldiers of God;Soldiers of God;Soldiers of God;Soldados de Dios;;;;;;;;;x
theocracy_rebels_desc;Theocratic maintain a strong degree of conservatism or political reactionaryism. Wanting religion to be the guiding light in all matters of state.;;;;Los partidos teocráticos mantienen un fuerte grado de conservadurismo o reaccionarismo político. Queriendo que la religión sea la luz que guie todos los temas del estado.;;;;;;;;;x
theocracy_rebels_army;Theocratics;Theocratics;Theocratics;Theocratics;Teocráticos;;;;;;;;;x
agrarist_rebels;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
nationalsyndicalist_rebels;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nationalsyndicalists;Nacionalsindicalistas;;;;;;;;;x
agrarism_rebels;Agrarists;Agrarists;Agrarists;Agrarists;Agraristas;;;;;;;;;x
theocracy_ruler;Supreme Leader;Supreme Leader;Supreme Leader;Supreme Leader;Lider Supremo;;;;;;;;;x
agrarist_ruler;Communal Leader;Communal Leader;Communal Leader;Communal Leader;Lider Comunal;;;;;;;;;x
nationalsyndicalist_dictatorship_ruler;Generalisimo;Generalisimo;Generalisimo;Generalisimo;Generalisimo;;;;;;;;;x
agrarism_rebels_title;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarism_rebels_name;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
agrarism_rebels_desc;Agrarists are closely related to the principles of Luddism. They reject industrialization, consider that machines will destroy employment and propose a return to manual labor. Closing all existing factories.;;;;Los agraristas están cercanamente relacionados con los principios del ludismo. Rechazan la industrialización, consideran que las máquinas destruirán el empleo y proponer regresar al trabajo manual. Cerrando todas las fábricas existentes.;;;;;;;;;x
agrarism_rebels_army;Green Movement;Movimiento Verde;Movimiento Verde;Movimiento Verde;Movimiento Verde;;;;;;;;;x
