RALLY_POINT_NAVY_MERGE_INFO;Enable or Disable navies merging at destination.\n(Ships will merge with largest unit here.);Active ou désactive la fusion des flottes arrivant à destination.\n(Les navires s'intègrent à la plus grande flotte s'y trouvant déjà);Aktiviert oder deaktiviert das Vereinigen von Schiffen am Zielpunkt.\n(Schiffe werden sich hier mit der größten Einheit vereinigen.);;Activar o desactivar los barcos se fusionen en el destino.\n (Las naves se fusionarán con la unidad más grande aquí.);;;;;;;;;x
RALLY_POINT_NAVY_PROVINCE_MERGE_INFO;All naval units will merge with largest unit when arrive here.;Toutes les unités navales fusionneront avec la plus grande à leur arrivée ici.;Alle Schiffe werden hier mit der größten Einheit vereinigt.;;Todas las unidades navales se fusionarán con la mayor unidad cuando llegen aquí.;;;;;;;;;x
BUDGET_INTERNALLY_SOLD_STOCKPILE;Stockpile sold to construction projects: §Y$VAL$§!;Stock vendu pour les projets de construction : §Y$VAL$§!;An Bauprojekte verkaufter Vorrat: §Y$VAL$§!;;Reserva vendida a los proyectos de construcción: §Y$VAL$§!;;;;;;;;;x
OL_VIEW_RALLYPOINTS_NAVY_TOOLTIP;All nearby constructed ships will head towards §Y$PROV$§!;Tous les navires construits à proximité se dirigeront vers §Y$PROV$§!;Alle in der Nähe gebauten Schiffe werden nach §Y$PROV$§! aufbrechen.;;Todos los buques construidos cercanos se dirigen hacia §Y$PROV$§!;;;;;;;;;x
OL_VIEW_RALLYPOINTS_NAVY_MERGE_TOOLTIP; and will try to merge with largest unit when arrive here.; et tenteront de fusionner avec la plus grande unité à leur arrivée.;und werden versuchen sich dort mit der größten Einheit zu vereinigen.;;  y tratará de combinarse con la mayor unidad cuando llegan aquí.;;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_1;§Y$UNIT$§! will be split between §G$NUM$§! ship(s):;§Y$UNIT$§! sera répartie entre §G$NUM$§! flotte(s):;§Y$UNIT$§! wird auf §G$NUM$§! Flotte(n) aufgeteilt:;;§Y$UNIT$§! se dividirá en §G$NUM$§! nave(s):;;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_2; - §Y$NAVY$§! ($NUM$ weight); - §Y$NAVY$§! (Capacité d'embarquement : $NUM$ unités); - §Y$NAVY$§! (Ladevermögen: $NUM$ Brigaden);; - §Y$NAVY$§! (Peso $NUM$);;;;;;;;;x
ARMY_SPLIT_AND_LOAD_DESC_3;§RThe remaining army of total weight ($NUM$) will not be loaded.§!;§RLe reste de l'armée ($NUM$ unités) ne sera pas embarqué.§!;§RDie verbleibenden Truppenteile ($NUM$ Brigaden) werden nicht verladen.§!;;§REl ejército restante de peso total ($NUM$) no se cargará.§!;;;;;;;;;x
UW_NOT_POSSIBLE_TO_ATTACH;There are no friendly units here to attach to.;Il n'y a pas d'unités amies auxquelles on peut se joindre.;Hier gibt es keine befreundete Einheiten, denen Sie sich anschließen können.;;No hay unidades amigas aquí a combinar.;;;;;;;;;x
UW_UNITS_ATTACHED;The following units are attached.;Les unités suivantes se sont jointes.;Die folgenden Einheiten haben sich angeschlossen.;;Las siguientes unidades se combinaran.;;;;;;;;;x
UW_ATTACH_TO;Attach to always follow $NAME$.;Se joindre à l'unité suivante : $NAME$.;Folgender Einheit anschließen: $NAME$.;;Combinar la selección $NAME$.;;;;;;;;;x
UW_DETACH_FROM;Detach from following $NAME$.;Se détacher de l'unité suivante : $NAME$.;Von folgender Einheit lösen: $NAME$.;;Separar del siguiente $NAME$.;;;;;;;;;x
IW_SUPPLY_COST;You need §Y$VAL$§W¤ every day to pay for supplies of this unit.;Vous avez besoin chaque jour de §Y$VAL$§W ¤ pour la maintenance de cette unité.;Sie benötigen jeden Tag §Y$VAL$§W¤ um den Unterhalt dieser Einheit zu finanzieren.;;Necesitas §Y$VAL$§W¤ todos los días para pagar los suministros de esta unidad.;;;;;;;;;x
HAS_NOT_CULTURE_CORE;$CUL$ is NOT a core-culture of $WHERE$.\n;$CUL$ n'est PAS une culture de base de $WHERE$.\n;$CUL$ ist KEINE Kernkultur von $WHERE$.\n;;$CUL$  no es un núcleo cultural de $WHERE$.\n;;;;;;;;;x
HAS_CULTURE_CORE;$CUL$ is a core-culture of $WHERE$.\n;$CUL$ est une culture de base de $WHERE$.\n;$CUL$ ist eine Kernkultur von $WHERE$.\n;;$CUL$  es un núcleo cultural de $WHERE$.\n;;;;;;;;;x
PROMOTION_EFFECT_FROM_ADMIN;Admin. efficiency effect on promotion speed: §Y$PERCENTAGE$§!;Influence de l'efficacité administrative sur la vitesse de promotion : §Y$PERCENTAGE$§!;Einfluss der Verwaltungseffizienz auf die Beförderungsgeschwindigkeit: §Y$PERCENTAGE$§!;;Efecto de la eficiencia administrativa en la velocidad de promoción: §Y$PERCENTAGE$§!;;;;;;;;;x
OUTLINER_TOOLTIP_FACTORY_OCCUPANCY;Local factories employment: $PERC$;Niveau de l'emploi dans les usines locales : $PERC$;Beschäftigungsgrad in den lokalen Fabriken: $PERC$;;Fábricas locales empleo: $PERC$;;;;;;;;;x
REVOLTALLIANCE_LOG;A revolution! Our alliance is broken!;Une révolution ! Notre alliance est rompue!;Eine Revolution! Unser Bündnis ist gekündigt!;;¡Una revolución! ¡Nuestra alianza se ha roto!;;;;;;;;;x
tut_5b_12b;Click on the decisions tab to continue.;Cliquez sur l'onglet Décisions pour continuer;Drücken Sie auf den Entscheidungs Reiter um fortzufahren.;;Haga click en la pestaña de decisiones para continuar.;;;;;;;;;x
tut_5b_14b;Click on the movements tab to continue.;Cliquez sur l'onglet Mouvements pour continuer;Drücken Sie auf den Bewegungs Reiter um fortzufahren.;;Haga click en la pestaña de movimientos para continuar.;;;;;;;;;x
Workforce;Workforce;Main-d'oeuvre;Arbeitskräfte;;Mano de obra;;;;;;;;;x
Ideology;Ideology;Idéologie;Ideologie;;Ideología;;;;;;;;;x
