KEYNAME;TEXT;;TEXT;;TEXTO;;;;;;;;;x
news1;The government of $TAG_2_0$ offered the peace with the following terms: $STRING_0_1$;;Die Regierung von $TAG_2_0$ bot unter folgenden Bedingungen Frieden an: $STRING_0_1$;;El gobierno de $TAG_2_0$ accede a firmar un acuerdo de paz bajo las siguientes condiciones: $STRING_0_1$;;;;;;;;;x
battle_we_win_title_large;GLORIOUS VICTORY IN $STRING_0_3$!;;GLORREICHER SIEG IN $STRING_0_3$!;;¡GLORIOSA VICTORIA EN $STRING_0_3$!;;;;;;;;;x
battle_we_win_large;On $DATE_LONG_0$ our unrivalled army was, once again, victorious in the battle of $STRING_0_3$! $VALUE_INT_0_1$ of our men bravely gave $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops a sound seeing to, and while $VALUE_INT_0_2$ of our fearless troops lost their lives, over $VALUE_INT_0_4$ $TAG_0_3_ADJ$ scoundrels were killed and the field was left in our hands. After a defeat like this, $TAG_0_3$ surely must soon seek peace terms!;;Am $DATE_LONG_0$ war unsere ungeschlagene Armee in der Schlacht von $STRING_0_3$ erneut siegreich! $VALUE_INT_0_1$ unserer tapferen Männer gaben $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen Saures und auch wenn $VALUE_INT_0_2$ unserer tapferen Mannen ihr Leben ließen, wurden mehr als $VALUE_INT_0_4$ $TAG_0_3_ADJ$ Schurken getötet. Nach einer solchen Niederlage, wird $TAG_0_3$ sicherlich um Frieden ersuchen!;;¡El $DATE_LONG_0$ nuestros invencibles ejércitos se alzaron victoriosos en la batalla de $STRING_0_3$! $VALUE_INT_0_1$ hombres de los nuestros dieron una buena paliza a $VALUE_INT_0_3$ hombres de las tropas $TAG_0_3_ADJ$s. En el transcurso de la batalla $VALUE_INT_0_2$ de nuestros valerosos soldados perdieron la vida, pero no en vano ya que se llevaron a $VALUE_INT_0_4$ de esos canallas con ellos al otro barrio. Después de una derrota como ésta $TAG_0_3$ no tardará en solicitar el cese de las hostilidades.;;;;;;;;;x
battle_we_win_title_medium;Victory in $STRING_0_3$!;;Sieg in $STRING_0_3$!;;¡Victoria en $STRING_0_3$!;;;;;;;;;x
battle_we_win_medium;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$, at the cost of $VALUE_INT_0_2$ lives lost.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$, zum Preis von $VALUE_INT_0_2$ Leben.;;El $DATE_LONG_0$ conseguimos abatir a $VALUE_INT_0_3$ soldados de $TAG_0_3$ en $STRING_0_3$, perdiendo a $VALUE_INT_0_2$ valientes hombres en el transcurso de la batalla.;;;;;;;;;x
battle_we_win_title_small;Victory!;;Sieg!;;¡Victoria!;;;;;;;;;x
battle_we_win_small;On $DATE_LONG_0$ we defeated $VALUE_INT_0_3$ $TAG_0_3_ADJ$ troops in $STRING_0_3$.;;Am $DATE_LONG_0$ besiegten wir $VALUE_INT_0_3$ $TAG_0_3_ADJ$ Truppen in $STRING_0_3$.;;El $DATE_LONG_0$ conseguimos abatir a $VALUE_INT_0_3$ soldados de $TAG_0_3$ en $STRING_0_3$.;;;;;;;;;x
battle_we_lose_title_large;MILITARY BLUNDER LEADS TO DISASTER IN $STRING_0_3$!;;MILITÄRISCHER PATZER FÜHRT ZU DESASTER IN $STRING_0_3$!;;¡ERROR TÁCTICO GARRAFAL DESEMBOCA EN DESASTRE EN $STRING_0_3$!;;;;;;;;;x
battle_we_lose_large;On $DATE_LONG_0$ our incompetent high command shockingly sent $VALUE_INT_0_4$ of our brave soldiers to their deaths in $STRING_0_3$ against the forces of  $TAG_0_2$. Our $VALUE_INT_0_3$ fine troops faced $VALUE_INT1$ $TAG_0_2_ADJ$ soldiers, and despite poor leadership and the enemy's underhanded tactics managed to inflict $VALUE_INT_0_2$ casualties upon them. This paper expresses grave concerns over the direction the high command is taking this war, and strongly urges the Government to take steps to correct it before it is too late!;;Am $DATE_LONG_0$ sendete unser unfähiges Oberkommando schockierenderweise $VALUE_INT_0_4$ unserer tapferen Soldaten in $STRING_0_3$ gegen die Truppen von $TAG_0_2$ in den Tod. $VALUE_INT_0_3$ feine Soldaten stellten sich $VALUE_INT1$ $TAG_0_2_ADJ$ Mann und konnten trotz schlechter Führung und der Hinterlist des Gegners $VALUE_INT_0_2$ Opfer mit sich nehmen. Wir bringen unsere große Sorge über die Richtung des Oberkommandos in diesem Krieg zum Ausdruck und fordern die Regierung dazu auf, das Ruder herumzureißen, bevor es zu spät ist!;;El $DATE_LONG_0$, la incompetencia de nuestros comandantes condujo a $VALUE_INT_0_4$ de nuestros hombres a una muerte segura en la batalla de $STRING_0_3$ a manos de las fuerzas de $TAG_0_2$. Los $VALUE_INT_0_3$ de nuestros hombres que consiguieron sobrevivir se mantuvieron firmes ante los $VALUE_INT1$ soldados del enemigo, y a pesar de la incompetencia de nuestros comandantes y de las engañosas tácticas del enemigo, consiguieron acabar con $VALUE_INT_0_2$ de esos canallas. Este artículo es solo una de las muchas muestras de preocupación existentes en lo que respecta a los métodos de la Comandancia usados en este conflicto, y se urge al Gobierno que haga lo necesario para corregir esta desgraciada situación antes de que sea demasiado tarde.;;;;;;;;;x
battle_we_lose_title_medium;Defeat in $STRING_0_3$;;Niederlage in $STRING_0_3$;;¡Derrota en $STRING_0_3$;;;;;;;;;x
battle_we_lose_medium;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;El $DATE_LONG_0$ hemos sido derrotados en la batalla de $STRING_0_3$, perdiendo con ello a $VALUE_INT_0_4$ valerosos soldados y dejando la zona bajo el control de $TAG_0_2$.;;;;;;;;;x
battle_we_lose_title_small;Disaster in $STRING_0_3$;;Desaster in $STRING_0_3$;;Desastre en $STRING_0_3$;;;;;;;;;x
battle_we_lose_small;On $DATE_LONG_0$ we lost the battle of $STRING_0_3$, losing $VALUE_INT_0_4$ men and leaving $TAG_0_2$ in control of the field.;;Am $DATE_LONG_0$ verloren wir die Schlacht von $STRING_0_3$, $VALUE_INT_0_4$ Männer und die Kontrolle des Feldes an $TAG_0_2$.;;El $DATE_LONG_0$ hemos sido derrotados en la batalla de $STRING_0_3$, perdiendo con ello a $VALUE_INT_0_4$ valerosos soldados y dejando la zona bajo el control de $TAG_0_2$.;;;;;;;;;x
gwar_we_win_large_title;$TAG_3_0_UPPER$ SURRENDERS!;;$TAG_3_0_UPPER$ GIBT AUF!;;¡$TAG_3_0_UPPER$ SE RINDE!;;;;;;;;;x
gwar_we_win_large_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$, an dessen Ende das Ergebis feststand: $STRINGS_LIST_4$.;;El $DATE_LONG_1$ la Gran Guerra entre $TAG_0_0$ y $TAG_1_0$ ha terminado, con nuestra gran nación como la vencedora. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$, y el resultado final del conflicto fue: $STRINGS_LIST_4$.;;;;;;;;;x
gwar_we_win_medium_title;ARMISTICE SIGNED!\n VICTORY!;;WAFFENRUHE UNTERZEICHNET!\n SIEG!;;¡TREGUA FIRMADA!\n ¡VICTORIA!;;;;;;;;;x
gwar_we_win_medium_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$.;;El $DATE_LONG_1$ la Gran Guerra entre $TAG_0_0$ y $TAG_1_0$ ha terminado, con nuestra gran nación como la vencedora. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$.;;;;;;;;;x
gwar_we_win_small_title;Victory over $TAG_3_0$!;;Sieg über $TAG_3_0$!;;¡Victoria sobre $TAG_3_0$!;;;;;;;;;x
gwar_we_win_small_desc;$STRING_0_0$ has ended with the defeat of $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;La $STRING_0_0$ ha finalizado con la derrota de $TAG_3_0$.;;;;;;;;;x
gwar_we_lose_large_title;A SHAMEFUL DAY.\nPEACE WITH $TAG_2_0_UPPER$ SIGNED!;;EIN TAG DER SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ UNTERZEICHNET!;;UN OSCURO DÍA PARA NUESTRA NACIÓN.\n¡FIRMADA LA PAZ CON $TAG_2_0_UPPER$!;;;;;;;;;x
gwar_we_lose_large_desc;On $DATE_LONG_1$ the Great war against $TAG_2_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der  Krieg gegen $TAG_2_0$ mit unserer schändlichen Niederlage. Der Krieg, $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;El $DATE_LONG_1$ la Gran Guerra contra $TAG_2_0$ ha terminado con nuestra terrible derrota. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$, y el resultado final del conflicto fue: $STRINGS_LIST_4$.;;;;;;;;;x
gwar_we_lose_medium_title;PEACE WITH $TAG_2_0_UPPER$!;;FRIEDEN MIT $TAG_2_0_UPPER$!;;¡PAZ CON $TAG_2_0_UPPER$!;;;;;;;;;x
gwar_we_lose_medium_desc;On $DATE_LONG_1$ the Great War between $TAG_0_0$ and $TAG_1_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. Der Krieg, bekannt als $STRING_0_0$, wütete von $DATE_SHORT_0$ über $STRING_9_0$.;;El $DATE_LONG_1$ la Gran Guerra contra $TAG_2_0$ ha terminado con nuestra terrible derrota. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$.;;;;;;;;;x
gwar_we_lose_small_title;Peace with $TAG_2_0$;;Frieden mit $TAG_2_0$;;Paz con $TAG_2_0$;;;;;;;;;x
gwar_we_lose_small_desc;$STRING_0_0$ has ended with our defeat at the hands of $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;La $STRING_0_0$ ha terminado con nuestra derrota a manos de $TAG_2_0$;;;;;;;;;x
war_we_win_large_title;ARMISTICE SIGNED!\n $TAG_3_0_UPPER$ SURRENDERS;;WAFFENRUHE!\n $TAG_3_0_UPPER$ GIBT AUF;;¡TREGUA FIRMADA!\n $TAG_3_0_UPPER$ SE RINDE;;;;;;;;;x
war_we_win_large_desc;On $DATE_LONG_1$ the War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem glorreichen Sieg. $STRING_0_0$ wütete von $DATE_SHORT_0$ über $STRING_9_0$, das Ende war $STRINGS_LIST_4$.;;El $DATE_LONG_1$ la guerra entre $TAG_0_0$ y $TAG_1_0$ ha terminado, con nuestra gran nación como la vencedora. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$, y el resultado final del conflicto fue: $STRINGS_LIST_4$.;;;;;;;;;x
war_we_win_medium_title;ARMISTICE SIGNED!\n VICTORY!;;WAFFENRUHE!\n SIEG!;;¡TREGUA FIRMADA!\n ¡VICTORIA!;;;;;;;;;x
war_we_win_medium_desc;On $DATE_LONG_1$ the War between $TAG_0_0$ and $TAG_1_0$ ended in our glorious victory. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$.;;Am $DATE_LONG_1$ endete der Krieg zwischen $TAG_0_0$ und $TAG_1_0$ mit unserem Sieg. $STRING_0_0$ ging von $DATE_SHORT_0$ über $STRING_9_0$ und am Ende stand $STRINGS_LIST_4$.;;El $DATE_LONG_1$ la guerra entre $TAG_0_0$ y $TAG_1_0$ ha terminado, con nuestra gran nación como la vencedora. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$.;;;;;;;;;x
war_we_win_small_title;Victory over $TAG_3_0$!;;Sieg gegen $TAG_3_0$!;;¡Victoria sobre $TAG_3_0$!;;;;;;;;;x
war_we_win_small_desc;$STRING_0_0$ has ended with the defeat of $TAG_3_0$.;;$STRING_0_0$ endete mit der Niederlage von $TAG_3_0$.;;La $STRING_0_0$ ha finalizado con la derrota de $TAG_3_0$.;;;;;;;;;x
war_we_lose_large_title;A SHAMEFUL DAY.\nPEACE WITH $TAG_2_0_UPPER$ SIGNED!;;SCHANDE.\nFRIEDEN MIT $TAG_2_0_UPPER$ SPRUCHREIF!;;UN OSCURO DÍA PARA NUESTRA NACIÓN.\n¡FIRMADA LA PAZ CON $TAG_2_0_UPPER$!;;;;;;;;;x
war_we_lose_large_desc;On $DATE_LONG_1$ the war against $TAG_2_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end the result was $STRINGS_LIST_4$.;;Am $DATE_LONG_1$ endete der Krieg mit $TAG_2_0$ in schämlicher Niederlage. $STRING_0_0$ wütete seit $DATE_SHORT_0$ über $STRING_9_0$, das Ergebnis war $STRINGS_LIST_4$.;;El $DATE_LONG_1$ la guerra contra $TAG_2_0$ ha terminado con nuestra terrible derrota. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$, y el resultado final del conflicto fue: $STRINGS_LIST_4$.;;;;;;;;;x
war_we_lose_medium_title;SHAMEFUL PEACE SIGNED!;;FRIEDEN UNTERZEICHNET!;;SHAMEFUL PEACE SIGNED!;;;;;;;;;x
war_we_lose_medium_desc;On $DATE_LONG_1$, the War between $TAG_0_0$ and $TAG_1_0$ ended in our shameful defeat. The war, known as $STRING_0_0$, raged from $DATE_SHORT_0$ over $STRING_9_0$, and in the end $TAG_2_0$ was the victor.;;Am $DATE_LONG_1$ endete der Große Krieg zwischen $TAG_0_0$ und $TAG_1_0$ siegreich für uns. Der als $STRING_0_0$ bekannte Krieg dauerte seit $DATE_SHORT_0$ über $STRING_9_0$ an und endete mit $TAG_2_0$ als Sieger.;;El $DATE_LONG_1$ la guerra contra $TAG_2_0$ ha terminado con nuestra terrible derrota. La guerra, conocida como $STRING_0_0$, comenzó el $DATE_SHORT_0$ y finalizó el $STRING_9_0$, y al final la victoria fue para $TAG_2_0$.;;;;;;;;;x
war_we_lose_small_title;Peace with $TAG_2_0$;;Frieden mit $TAG_2_0$;;Paz con $TAG_2_0$;;;;;;;;;x
war_we_lose_small_desc;$STRING_0_0$ has ended with our defeat at the hands of $TAG_2_0$;;$STRING_0_0$ endete mit unserer Niederlage durch $TAG_2_0$;;La $STRING_0_0$ ha terminado con nuestra derrota a manos de $TAG_2_0$;;;;;;;;;x
rebels_win_small_title;Revolution!;;Revolution!;;¡Revolución!;;;;;;;;;x
rebels_win_small_desc;$STRING_0_0$ have defeated $TAG_0_0$ and broken the country, what will the $STRING_0_3$ $STRING_0_4$ do now?;;$STRING_0_0$ haben $TAG_0_0$ besiegt und das Land liegt in Trümmern, was wird $STRING_0_3$ $STRING_0_4$ nun tun?;;$STRING_0_0$ ha derrotado a $TAG_0_0$ y fracturado la nación. ¿Qué harán $STRING_0_3$ $STRING_0_4$ ahora?;;;;;;;;;x
KEYNAME;TEXT;;TEXT;;TEXTO;;;;;;;;;x
some_fake_1836_title_1;Opiate update!;;Neues vom Opium!;;La fiebre del Opio;;;;;;;;;x
some_fake_1836_1;Opium craze sweeps China, traders state it’s long journey, but worth the trip.;;Opiumwelle in China, Händler sagen, die weite Reise lohnt sich.;;La fiebre del Opio se extiende por toda China. Los comerciantes afirman que es “un largo viaje que vale la pena”.;;;;;;;;;x
some_fake_1836_title_2;Ether craze;;Äther-Wahnsinn;;La fiebre del Éter;;;;;;;;;x
some_fake_1836_2;Popularity of ether frolics on the rise, pundits claim “It’s a gas!”.;;Äther immer populärer, Experten behaupten: “Es ist ein Gas!”;;La popularidad del éter como droga se dispara, los expertos afirman: “¡Es EL GAS!”;;;;;;;;;x
some_fake_1836_title_3;Sweet Dreams;;Süße Träume;;Dulces Sueños;;;;;;;;;x
