AI_FEARS_US_TITLE1;$TAG_0_0_UPPER$ FEARS OUR MIGHT!;;$TAG_0_0_upper$ FÜRCHTET UNSERE MACHT!;;¡$TAG_0_0_UPPER$ LE TEME A NUESTRA FUERZA!;;;;;;;;x;
AI_FEARS_US_DESC1_LONG;Reports of rumours are coming in from our correspondent in $TAG_0_0$. An unnamed source informs that a series of meetings involving top military officers have taken place in their capital in the last few months. The top theme of these meetings involves a possible fictitious scenario where war is declared and our military invades them. Measures of counter-attack and, if needed, even guerrilla warfare methods were discussed. Apparently the top command of the $TAG_0_0_ADJ$ army is preparing for the worst. It seems we are feared by them!;;Gerüchte erreichen unseren Korrespondenten in $TAG_0_0$. Eine anonyme Quelle bestätigt, dass in den letzten Monaten mehrere Treffen mit hochrangigen Militäroffizieren in ihrer Hauptstadt stattfanden. Das Hauptthema dieser Treffen drehte sich um ein fiktionales Szenario der Kriegserklärung und einer Invasion durch unser Militär. Es wurden mögliche Gegenangriffe und sogar Guerillakämpfe diskutiert. Scheinbar bereitet sich die $TAG_0_0_ADJ$e Armee auf das Schlimmste vor. Sie scheinen Angst vor uns zu haben!;;Han llegado rumores por medio de nuestro corresponsal en $TAG_0_0$. Una fuente anónima informa que una serie de reuniones entre altos cargos militares ha tenido lugar en su capital durante los últimos meses. El tema principal de esas reuniones versa sobre un posible escenario ficticio donde se declara la guerra y nuestras fuerzas armadas invaden su país. Fueron discutidas medidas de contra ataque, y si fuera necesario, métodos de guerra de guerrilas. Aparentemente los comandantes del ejercito de $TAG_0_0$ se estan preparando para lo peor. ¡Parece que nos temen!;;;;;;;;x;
AI_FEARS_US_DESC1_MEDIUM;An unnamed source in $TAG_0_0$ reports that the government there is preparing for the worst. A fictitious scenario involving a war declaration by our country against them is deemed possible, and top military officers consider our military might frightening!;;Eine anonyme Quelle in $TAG_0_0$ meldet, dass sich die dortige Regierung auf das Schlimmste vorbereitet. Ein fiktionales Szenario einer Kriegserklärung durch unser Land wird für möglich gehalten, und ihre hochrangigen Militäroffiziere fürchten unsere militärische Stärke!;;Una fuente anónima de $TAG_0_0$ informa que su gobierno se está preparando para lo peor. Un escenario ficticio que implica una declaración de guerra por nuestro país contra ellos se considera posible, ¡y sus altos oficiales consideran nuestro poderío militar aterrador!;;;;;;;;x;
AI_FEARS_US_DESC1_SHORT;Reports are coming in from an unnamed source in $TAG_0_0$ of a series of military meetings in their capital. It seems they deem an invasion by our troops a serious possibility! ;;Eine anonyme Quelle in $TAG_0_0$ berichtet von einer Reihe von militärischen Treffen in ihrer Hauptstadt. Wie es scheint, halten sie eine Invasion durch unsere Truppen durchaus für möglich!;;Reportes provenientes de fuentes anónimas en $TAG_0_0$ nos informan de una serie de reuniones militares en su capital. ¡Parece que consideran una invasión de nuestras tropas una posibilidad seria!;;;;;;;;x;
AI_FEARS_US_TITLE2;$TAG_0_0$ fears we are coming!;;$TAG_0_0$ fürchtet unseren Einmarsch!;;¡$TAG_0_0$ teme nuestra llegada!;;;;;;;;x;
AI_FEARS_US_DESC2_LONG;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of the chilly relations between our countries and a careful comparison of our relative military strengths led the editor to the conclusion that our countries might soon find themselves in a state of war, and when that day comes, $TAG_0_0$'s very existence might be threatened. The elite and the commoners alike, the citizens of $TAG_0_0$ demand their government to seek alliance with a greater power to diminish the unavoidable threat we are posing.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern mit einem Vergleich unserer militärischen Stärken brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten. Sollte dieser Tag kommen, wäre die Existenz $TAG_0_0$s angeblich gefährdet. Alle Bürger von $TAG_0_0$, Adel wie auch Bürgerliche, fordern ihre Regierung auf, ein Bündnis mit einer Großmacht einzugehen, um die Bedrohung, die wir darstellen, einzudämmen.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación! Un detallado análisis de las frías relaciones entre nuestros paises y una cuidadosa comparacion de nuestras fuerzas militares llevó al editor a la conclusión de que nuestros paises podrían encontrarse pronto en un estado de guerra, y cuando llegue ese día, la existencia misma de $TAG_0_0$ podria estar amenazada. La élite y los plebeyos por igual, los ciudadanos de $TAG_0_0$ demandan a su gobierno la busqueda de una alianza con una gran potencia para disminuir la amenaza inevitable que nosotros suponemos.;;;;;;;;x;
AI_FEARS_US_DESC2_MEDIUM;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! A detailed analysis of the chilly relations between our countries led the editor to the conclusion that absent new guarantees, our countries might soon find themselves in a state of war.;;Ein kürzlicher Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte ihre Nation in Aufruhr! Eine ausführliche Analyse der frostigen Beziehungen zwischen unseren Ländern brachte den Herausgeber zu dem Schluss, dass unsere Länder sich bald im Kriegszustand befinden könnten.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación! Un detallado análisis de las frías relaciones entre nuestros paises llevó al editor a la conclusión que en ausencia de nuevas garantias, nuestros paises podrían encontrarse pronto en estado de guerra.  ;;;;;;;;x;
AI_FEARS_US_DESC2_SHORT;A recent article in a $TAG_0_0_ADJ$ newspaper startled their nation! Analysis of chilly relations between our countries led the editor to the conclusion that war might be unavoidable.;;Ein Beitrag in der $TAG_0_0_ADJ$en Zeitung brachte die Nation ihre Aufruhr! Die Analyse frostiger Beziehungen zw. unseren Ländern brachte sie zu dem Schluss, dass ein Krieg unausweichlich sei.;;¡Un artículo reciente en un periódico de $TAG_0_0$ sobresalta su nación!  Un detallado análisis de las frías relaciones entre nuestros paises llevó al editor a la conclusión de que la guerra entre nuestros paises es inevitable.;;;;;;;;x;
AI_FEARS_US_TITLE3;$TAG_0_0_ADJ$ insults!;;$TAG_0_0_ADJ$e Beleidigungen!;;¡$TAG_0_0$ nos insulta!;;;;;;;;x;
AI_FEARS_US_DESC3_LONG;Prejudice and hatred reign in $TAG_0_0$. The growing chorus of insults reached new lows on Monday as the $TAG_0_0_ADJ$ foreign minister slapped our ambassador on the lawn of our embassy in $TAG_0_0$. When asked for comment, our minister for foreign affairs said that this was 'More proof, as if any was needed, that they cannot be trusted to behave in a civilised manner. Savages and cads govern in $TAG_0_0$, and the sooner these wretches are rooted out the better'. Diplomatic channels remain open for now, but war may be inevitable.;;Vorurteile und Hass herrschen in $TAG_0_0$. Die Beleidigungen fanden am Montag einen neuen Tiefpunkt, als der $TAG_0_0_ADJ$e Außenminister unseren Botschafter auf dem Rasen unserer Botschaft in $TAG_0_0$ ohrfeigte. Auf Anfrage sagte unser Außenminister, dass dies 'weitere Beweise sind, falls wir noch welche brauchten, dass man von ihnen kein zivilisiertes Verhalten erwarten kann. Wilde und Proleten herrschen in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.' Diplomatische Kontakte werden weiterhin aufrechterhalten, doch Krieg scheint unvermeidbar.;;El odio y los prejuicios reinan en $TAG_0_0$. El creciente coro de insultos llegó a nuevos mínimos el lunes cuando el canciller de $TAG_0_0$ abofeteó a nuestro embajador en el patio de nuestra embajada en $TAG_0_0$. Cuando preguntamos por ello, nuestro Ministro de Relaciones Exteriores dijo que se trataba de 'Una prueba más, como si fuera necesaria, de que no se puede confiar en que se comporten de una manera civilizada. Los salvajes gobiernan en $TAG_0_0$, y cuanto antes estos miserables sean erradicados mejor'. Los canales diplomáticos se mantienen abiertos de momento, pero la guerra puede ser inevitable.;;;;;;;;x;
AI_FEARS_US_DESC3_MEDIUM;Prejudice and hatred reign supreme in $TAG_0_0$. On Monday the $TAG_0_0_ADJ$ foreign minister slapped our ambassador. Our minister for foreign affairs said that 'savages and cads govern in $TAG_0_0$, and the sooner these wretches are rooted out, the better'.;;Vorurteile und Hass herrschen in $TAG_0_0$ vor. Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Unser Außenminister sagt, dass 'Wilde und Proleten in $TAG_0_0$ regieren, je eher wir sie ausmerzen, desto besser.';;El odio y los prejuicios reinan en $TAG_0_0$. El lunes el canciller de $TAG_0_0$ abofeteó a nuestro embajador. Nuestro Ministro de Relaciones Exteriores dijo que 'Los salvajes gobiernan en $TAG_0_0$, y cuanto antes estos miserables sean erradicados mejor'.;;;;;;;;x;
AI_FEARS_US_DESC3_SHORT;On Monday the $TAG_0_0_ADJ$ foreign minister slapped our ambassador. Savages and bounders govern in $TAG_0_0$, and the sooner these wretches are rooted out, the better.;;Am Montag gab der $TAG_0_0_ADJ$e Außenminister unserem Botschafter eine Ohrfeige. Wilde und Schurken regieren in $TAG_0_0$ und je eher wir sie ausmerzen, desto besser.;;El lunes el canciller de $TAG_0_0$ abofeteó a nuestro embajador. Los salvajes gobiernan en $TAG_0_0$, y cuanto antes estos miserables sean erradicados mejor.;;;;;;;;x;
AI_FEARS_OTHER_TITLE1;The fears of $TAG_0_0$;;Angst in $TAG_0_0$;;Los miedos de $TAG_0_0$;;;;;;;;x;
